wavelength_nm,irradiance_W_m2_nm
1437,0.00175
1438,0.0004727
1439,0.003322
1440,0.00298
1441,0.001364
1442,0.001251
1443,0.002872
1444,0.005812
1445,0.002759
1446,0.000804
1447,0.001843
1448,0.01929
1449,0.0152
1450,0.001641
1451,0.0004822
1452,0.006014
1453,0.008992
1454,0.02994
1455,0.008689
1456,0.0108
1457,0.02064
1458,0.03424
1459,0.04081
1460,0.016
1461,0.01195
1462,0.02673
1463,0.005038
1464,0.03923
1465,0.02165
1466,0.006283
1467,0.002249
1468,0.00916
1469,0.01507
1470,0.002599
1471,0.00106
1472,0.00236
1473,0.007268
1474,0.01861
1475,0.05359
1476,0.009365
1477,0.007869
1478,0.01095
1479,0.02699
1480,0.006853
1481,0.02288
1482,0.009217
1483,0.03719
1484,0.0397
1485,0.03272
1486,0.02654
1487,0.007152
1488,0.02113
1489,0.05886
1490,0.0639
1491,0.0798
1492,0.04745
1493,0.06232
1494,0.08394
1495,0.07045
1496,0.06122
1497,0.1153
1498,0.073
1499,0.09089
1500,0.1299
1501,0.138
1502,0.1103
1503,0.07455
1504,0.05935
1505,0.08013
1506,0.1439
1507,0.1372
1508,0.1263
1509,0.07983
1510,0.1557
1511,0.1435
1512,0.1498
1513,0.1213
1514,0.1069
1515,0.1553
1516,0.1463
1517,0.1335
1518,0.1385
1519,0.1275
1520,0.1475
1521,0.1707
1522,0.1535
1523,0.1753
1524,0.1682
1525,0.1467
1526,0.1534
1527,0.1531
1528,0.173
1529,0.1667
1530,0.1511
1531,0.1621
1532,0.1765
1533,0.1782
1534,0.1699
1535,0.1638
1536,0.1731
1537,0.1689
1538,0.1744
1539,0.1723
1540,0.171
1541,0.1725
1542,0.1673
1543,0.1738
1544,0.1693
1545,0.1787
1546,0.1745
1547,0.1754
1548,0.1714
1549,0.1774
1550,0.1743
1551,0.174
1552,0.1715
1553,0.1753
1554,0.1703
1555,0.173
1556,0.1698
1557,0.175
1558,0.1737
1559,0.1732
1560,0.1714
1561,0.1744
1562,0.1714
1563,0.1714
1564,0.1686
1565,0.1729
1566,0.1688
1567,0.17
1568,0.1657
1569,0.1649
1570,0.1564
1571,0.1519
1572,0.1537
1573,0.1514
1574,0.1562
1575,0.1553
1576,0.1593
1577,0.1399
1578,0.1524
1579,0.1522
1580,0.1585
1581,0.1611
1582,0.1566
1583,0.1585
1584,0.1616
1585,0.1676
1586,0.1642
1587,0.1619
1588,0.1628
1589,0.1507
1590,0.1559
1591,0.1563
1592,0.1614
1593,0.1671
1594,0.1644
1595,0.1667
1596,0.1574
1597,0.1575
1598,0.1643
1599,0.1564
1600,0.1544
1601,0.1441
1602,0.1439
1603,0.1451
1604,0.1479
1605,0.1536
1606,0.1564
1607,0.151
1608,0.1479
1609,0.1469
1610,0.1407
1611,0.1464
1612,0.1496
1613,0.1528
1614,0.1542
1615,0.1562
1616,0.1491
1617,0.1511
1618,0.1579
1619,0.1548
1620,0.1521
1621,0.152
1622,0.154
1623,0.1572
1624,0.1573
1625,0.1534
1626,0.1554
1627,0.1562
1628,0.1564
1629,0.1565
1630,0.1534
1631,0.1542
1632,0.153
1633,0.1497
1634,0.1508
1635,0.1502
1636,0.1525
1637,0.1467
1638,0.1424
1639,0.1418
1640,0.1373
1641,0.1422
1642,0.1422
1643,0.139
1644,0.1449
1645,0.1396
1646,0.1381
1647,0.1472
1648,0.1393
1649,0.1406
1650,0.1447
1651,0.1341
1652,0.1408
1653,0.1421
1654,0.1385
1655,0.1424
1656,0.1401
1657,0.1415
1658,0.1439
1659,0.1427
1660,0.1437
1661,0.1422
1662,0.1359
1663,0.1429
1664,0.1408
1665,0.1361
1666,0.1112
1667,0.1357
1668,0.139
1669,0.134
1670,0.1423
1671,0.1398
1672,0.1349
1673,0.139
1674,0.1376
1675,0.1363
1676,0.1327
1677,0.1344
1678,0.1307
1679,0.1368
1680,0.1311
1681,0.1254
1682,0.1315
1683,0.1343
1684,0.1214
1685,0.1377
1686,0.135
1687,0.1282
1688,0.1355
1689,0.1322
1690,0.1289
1691,0.1112
1692,0.1286
1693,0.1364
1694,0.1274
1695,0.1351
1696,0.1341
1697,0.09637
1698,0.1332
1699,0.1295
1700,0.1235
1702,0.1315
1705,0.1226
1710,0.1151
1715,0.1134
1720,0.1143
1725,0.1045
1730,0.101
1735,0.09173
1740,0.095
1745,0.08495
1750,0.09381
1755,0.08054
1760,0.0882
1765,0.06271
1770,0.06328
1775,0.04344
1780,0.03395
1785,0.01932
1790,0.02608
1795,0.005321
1800,0.00495
1805,0.0003664
1810,0.0001805
1815,8.682e-06
1820,5.437e-07
1825,8.177e-07
1830,2.132e-11
1835,5.132e-12
1840,1.869e-14
1845,3.88e-13
1850,1.032e-13
1855,9.569e-14
1860,2.92e-10
1865,1.098e-10
1870,2.615e-20
1875,7.109e-20
1880,4.609e-09
1885,1.557e-09
1890,6.131e-09
1895,1.111e-08
1900,9.559e-13
1905,1.339e-12
1910,1.698e-10
1915,1.188e-09
1920,4.686e-08
1925,5.804e-07
1930,6.562e-07
1935,2.845e-05
1940,5.943e-05
1945,0.0005209
1950,0.001949
1955,0.0006477
1960,0.003732
1965,0.007215
1970,0.01744
1975,0.02443
1980,0.03231
1985,0.03859
1990,0.0374
1995,0.03911
2000,0.01902
2005,0.006296
2010,0.02414
2015,0.01323
2020,0.02414
2025,0.04302
2030,0.04681
2035,0.05893
2040,0.05258
2045,0.05467
2050,0.04187
2055,0.03301
2060,0.04085
2065,0.03762
2070,0.03944
2075,0.04832
2080,0.05385
2085,0.05298
2090,0.0567
2095,0.05635
2100,0.05107
2105,0.05983
2110,0.05619
2115,0.05859
2120,0.05392
2125,0.05572
2130,0.05718
2135,0.05779
2140,0.05897
2145,0.05821
2150,0.05167
2155,0.05224
2160,0.05239
2165,0.04679
2170,0.05185
2175,0.04874
2180,0.05176
2185,0.04263
2190,0.04867
2195,0.0482
2200,0.04308
2205,0.04488
2210,0.0504
2215,0.04743
2220,0.04997
2225,0.04764
2230,0.0494
2235,0.04776
2240,0.04764
2245,0.04565
2250,0.04687
2255,0.0439
2260,0.04331
2265,0.0443
2270,0.042
2275,0.04144
2280,0.04292
2285,0.04077
2290,0.04079
2295,0.03945
2300,0.03689
2305,0.03695
2310,0.03889
2315,0.0355
2320,0.03053
2325,0.03164
2330,0.03267
2335,0.03489
2340,0.0226
2345,0.02885
2350,0.02075
2355,0.02537
2360,0.02743
2365,0.02541
2370,0.01254
2375,0.02225
2380,0.01823
2385,0.01084
2390,0.01566
2395,0.01882
2400,0.02053
2405,0.01222
2410,0.01176
2415,0.007709
2420,0.008022
2425,0.01147
2430,0.01853
2435,0.002824
2440,0.01616
2445,0.004861
2450,0.002192
2455,0.005504
2460,0.01007
2465,0.005173
2470,0.002117
2475,0.002008
2480,0.0003967
2485,0.0001755
2490,4.497e-05
2495,3.84e-05
2500,0.0001587
2505,1.052e-05
2510,2.108e-05
2515,1.082e-06
2520,9.118e-08
2525,3.368e-10
2530,2.836e-14
2535,2.29e-16
2540,2.131e-15
2545,3.752e-21
2550,4.943e-32
2555,2.386e-20
2560,4.305e-21
2565,2.101e-28
2570,2.151e-38
2575,0
2580,0
2585,0
2590,0
2595,0
2600,0
2605,0
2610,0
2615,0
2620,0
2625,0
2630,0
2635,8.078e-33
2640,1.211e-37
2645,3.383e-40
2650,5.605e-45
2655,0
2660,0
2665,0
2670,0
2675,0
2680,0
2685,0
2690,0
2695,0
2700,0
2705,0
2710,0
2715,0
2720,0
2725,1.413e-41
2730,9.809e-45
2735,7.006e-45
2740,0
2745,0
2750,0
2755,0
2760,0
2765,0
2770,0
2775,0
2780,0
2785,0
2790,7.686e-30
2795,2.06e-32
2800,4.705e-20
2805,8.002e-23
2810,6.138e-19
2815,4.34e-19
2820,9.224e-21
2825,2.146e-14
2830,1.287e-11
2835,2.111e-20
2840,2.196e-13
2845,2.932e-09
2850,5.455e-13
2855,9.367e-13
2860,3.707e-09
2865,7.793e-08
2870,9.282e-11
2875,5.08e-07
2880,4.15e-07
2885,7.904e-07
2890,3.778e-07
2895,5.162e-05
2900,8.143e-06
2905,7.261e-08
2910,9.304e-05
2915,2.04e-05
2920,8.823e-05
2925,3.352e-05
2930,0.0003232
2935,0.0004938
2940,3.039e-05
2945,1.963e-05
2950,0.000316
2955,0.0001616
2960,0.0003257
2965,0.001059
2970,4.91e-06
2975,1.4e-05
2980,3.748e-05
2985,0.0008264
2990,0.001969
2995,0.0003232
3000,0.001139
3005,0.0002049
3010,0.001094
3015,0.0005375
3020,3.309e-06
3025,0.001105
3030,0.0007853
3035,0.0001389
